GPS Time,GPS Speed (Meters/second),Speed (OBD)(km/h),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Kilometers Per Litre(Long Term Average)(kpl),Average trip speed(whilst stopped or moving)(km/h)
Fri Apr 05 16:54:46 GMT+02:00 2019,0.002857,0,-,-,-,-
Fri Apr 05 16:54:47 GMT+02:00 2019,0.022727,0,-,-,-,-
Fri Apr 05 16:54:48 GMT+02:00 2019,0.025844,0,-,-,-,-
Fri Apr 05 16:54:49 GMT+02:00 2019,0.018725,0,-,-,-,-
Fri Apr 05 16:54:50 GMT+02:00 2019,0.003342,0,-,-,-,-
Fri Apr 05 16:54:51 GMT+02:00 2019,0.072893,0,-,-,-,-
Fri Apr 05 16:54:52 GMT+02:00 2019,0.106997,0,-,-,-,-
Fri Apr 05 16:54:53 GMT+02:00 2019,0.054859,0,-,-,-,-
Fri Apr 05 16:54:54 GMT+02:00 2019,0.071949,0,-,-,-,-
Fri Apr 05 16:54:55 GMT+02:00 2019,0.089521,0,-,-,-,-
Fri Apr 05 16:54:56 GMT+02:00 2019,0.083535,0,-,-,-,-
Fri Apr 05 16:54:57 GMT+02:00 2019,0.034682,0,-,-,-,-
Fri Apr 05 16:54:58 GMT+02:00 2019,0.010033,0,-,-,-,-
Fri Apr 05 16:54:59 GMT+02:00 2019,0.010644,0,-,-,-,-
Fri Apr 05 16:55:00 GMT+02:00 2019,0.002565,0,-,-,-,-
Fri Apr 05 16:55:01 GMT+02:00 2019,0.039185,0,-,-,-,-
Fri Apr 05 16:55:02 GMT+02:00 2019,0.024105,0,-,-,-,-
Fri Apr 05 16:55:03 GMT+02:00 2019,0.060533,0,-,-,-,-
Fri Apr 05 16:55:04 GMT+02:00 2019,0.013912,0,-,-,-,-
Fri Apr 05 16:55:05 GMT+02:00 2019,0.014188,0,-,-,-,-
Fri Apr 05 16:55:06 GMT+02:00 2019,0.026989,0,-,-,-,-
Fri Apr 05 16:55:07 GMT+02:00 2019,0.007592,0,-,-,-,-
Fri Apr 05 16:55:08 GMT+02:00 2019,0.048451,0,-,-,-,-
Fri Apr 05 16:55:09 GMT+02:00 2019,0.050595,0,-,-,-,-
Fri Apr 05 16:55:10 GMT+02:00 2019,0.050627,0,-,-,-,-
Fri Apr 05 16:55:11 GMT+02:00 2019,0.044324,0,-,-,-,-
Fri Apr 05 16:55:12 GMT+02:00 2019,0.06989,0,-,-,-,-
Fri Apr 05 16:55:13 GMT+02:00 2019,0.080843,0,-,-,-,-
Fri Apr 05 16:55:14 GMT+02:00 2019,0.039659,0,-,-,-,-
Fri Apr 05 16:55:15 GMT+02:00 2019,0.072687,0,-,-,-,-
Fri Apr 05 16:55:16 GMT+02:00 2019,0.119762,0,-,-,-,-
Fri Apr 05 16:55:17 GMT+02:00 2019,0.135101,0,-,-,-,-
Fri Apr 05 16:55:18 GMT+02:00 2019,0.095202,0,-,-,-,-
Fri Apr 05 16:55:19 GMT+02:00 2019,0.081854,0,-,-,-,-
Fri Apr 05 16:55:20 GMT+02:00 2019,0.027195,0,-,-,-,-
Fri Apr 05 16:55:21 GMT+02:00 2019,0.021916,0,-,-,-,-
Fri Apr 05 16:55:22 GMT+02:00 2019,0.022069,0,-,-,-,-
Fri Apr 05 16:55:23 GMT+02:00 2019,0.001768,0,-,-,-,-
Fri Apr 05 16:55:24 GMT+02:00 2019,0.064396,0,-,-,-,-
Fri Apr 05 16:55:25 GMT+02:00 2019,0.012895,0,-,-,-,-
Fri Apr 05 16:55:26 GMT+02:00 2019,0.090268,0,-,-,-,-
Fri Apr 05 16:55:27 GMT+02:00 2019,0.087818,0,-,-,-,-
Fri Apr 05 16:55:28 GMT+02:00 2019,0.069879,0,-,-,-,-
Fri Apr 05 16:55:29 GMT+02:00 2019,0.048771,0,-,-,-,-
Fri Apr 05 16:55:30 GMT+02:00 2019,0.00319,0,-,-,-,-
Fri Apr 05 16:55:31 GMT+02:00 2019,0.055706,0,-,-,-,-
Fri Apr 05 16:55:32 GMT+02:00 2019,0.163597,0,-,-,-,-
Fri Apr 05 16:55:33 GMT+02:00 2019,0.176157,0,-,-,-,-
Fri Apr 05 16:55:34 GMT+02:00 2019,0.201907,0,-,-,-,-
Fri Apr 05 16:55:35 GMT+02:00 2019,0.274845,0,-,-,-,-
Fri Apr 05 16:55:36 GMT+02:00 2019,0.254584,0,-,-,-,-
Fri Apr 05 16:55:37 GMT+02:00 2019,0.202509,0,-,-,-,-
Fri Apr 05 16:55:38 GMT+02:00 2019,0.260452,0,-,-,-,-
Fri Apr 05 16:55:39 GMT+02:00 2019,0.097549,0,-,-,-,-
Fri Apr 05 16:55:40 GMT+02:00 2019,0.02705,0,-,-,-,-
Fri Apr 05 16:55:41 GMT+02:00 2019,0.076982,0,-,-,-,-
Fri Apr 05 16:55:42 GMT+02:00 2019,0.12419,0,-,-,-,-
Fri Apr 05 16:55:43 GMT+02:00 2019,0.111842,0,-,-,-,-
Fri Apr 05 16:55:44 GMT+02:00 2019,0.091675,0,-,-,-,-
Fri Apr 05 16:55:45 GMT+02:00 2019,0.015254,0,-,-,-,-
Fri Apr 05 16:55:46 GMT+02:00 2019,0.020883,0,-,-,-,-
Fri Apr 05 16:55:47 GMT+02:00 2019,0.095202,0,-,-,-,-
Fri Apr 05 16:55:48 GMT+02:00 2019,0.162242,0,-,-,-,-
Fri Apr 05 16:55:49 GMT+02:00 2019,0.214572,0,-,-,-,-
Fri Apr 05 16:55:50 GMT+02:00 2019,0.197194,0,-,-,-,-
Fri Apr 05 16:55:51 GMT+02:00 2019,0.149846,0,-,-,-,-
Fri Apr 05 16:55:52 GMT+02:00 2019,0.136218,0,-,-,-,-
Fri Apr 05 16:55:53 GMT+02:00 2019,0.132406,0,-,-,-,-
Fri Apr 05 16:55:54 GMT+02:00 2019,0.119613,0,-,-,-,-
Fri Apr 05 16:55:55 GMT+02:00 2019,0.061976,0,-,-,-,-
Fri Apr 05 16:55:56 GMT+02:00 2019,0.07298,0,-,-,-,-
Fri Apr 05 16:55:57 GMT+02:00 2019,0.241064,0,-,-,-,-
Fri Apr 05 16:55:58 GMT+02:00 2019,0.28229,0,-,-,-,-
Fri Apr 05 16:55:59 GMT+02:00 2019,0.182851,0,-,-,-,-
Fri Apr 05 16:56:00 GMT+02:00 2019,0.216833,0,-,-,-,-
Fri Apr 05 16:56:01 GMT+02:00 2019,0.150629,0,-,-,-,-
Fri Apr 05 16:56:02 GMT+02:00 2019,0.054884,0,-,-,-,-
Fri Apr 05 16:56:03 GMT+02:00 2019,0.095868,0,-,-,-,-
Fri Apr 05 16:56:04 GMT+02:00 2019,0.154465,0,-,-,-,-
Fri Apr 05 16:56:05 GMT+02:00 2019,0.273668,0,-,-,-,-
Fri Apr 05 16:56:06 GMT+02:00 2019,0.259391,0,-,-,-,-
Fri Apr 05 16:56:07 GMT+02:00 2019,0.222258,0,-,-,-,-
Fri Apr 05 16:56:08 GMT+02:00 2019,0.196273,0,-,-,-,-
Fri Apr 05 16:56:09 GMT+02:00 2019,0.201176,0,-,-,-,-
Fri Apr 05 16:56:10 GMT+02:00 2019,0.191502,0,-,-,-,-
Fri Apr 05 16:56:11 GMT+02:00 2019,0.158828,0,-,-,-,-
Fri Apr 05 16:56:12 GMT+02:00 2019,0.120401,0,-,-,-,-
Fri Apr 05 16:56:13 GMT+02:00 2019,0.140885,0,-,-,-,-
Fri Apr 05 16:56:14 GMT+02:00 2019,0.044724,0,-,-,-,-
Fri Apr 05 16:56:15 GMT+02:00 2019,0.085559,0,-,-,-,-
Fri Apr 05 16:56:16 GMT+02:00 2019,0.083341,0,-,-,-,-
Fri Apr 05 16:56:17 GMT+02:00 2019,0.145545,0,-,-,-,-
Fri Apr 05 16:56:18 GMT+02:00 2019,0.143635,0,-,-,-,-
Fri Apr 05 16:56:19 GMT+02:00 2019,0.145761,0,-,-,-,-
Fri Apr 05 16:56:20 GMT+02:00 2019,0.10721,0,-,-,-,-
Fri Apr 05 16:56:21 GMT+02:00 2019,0.067288,0,-,-,-,-
Fri Apr 05 16:56:22 GMT+02:00 2019,0.058931,0,-,-,-,-
Fri Apr 05 16:56:23 GMT+02:00 2019,0.100095,0,-,-,-,-
Fri Apr 05 16:56:24 GMT+02:00 2019,0.133445,0,-,-,-,-
Fri Apr 05 16:56:25 GMT+02:00 2019,0.255151,0,-,-,-,-
Fri Apr 05 16:56:26 GMT+02:00 2019,0.252849,0,-,-,-,-
Fri Apr 05 16:56:27 GMT+02:00 2019,0.215157,0,-,-,-,-
Fri Apr 05 16:56:28 GMT+02:00 2019,0.043059,0,-,-,-,-
Fri Apr 05 16:56:29 GMT+02:00 2019,0.008698,0,-,-,-,-
Fri Apr 05 16:56:30 GMT+02:00 2019,0.014825,0,-,-,-,-
Fri Apr 05 16:56:31 GMT+02:00 2019,0.106858,0,-,-,-,-
Fri Apr 05 16:56:32 GMT+02:00 2019,0.021426,0,-,-,-,-
Fri Apr 05 16:56:33 GMT+02:00 2019,0.032926,0,-,-,-,-
Fri Apr 05 16:56:34 GMT+02:00 2019,0.078577,0,-,-,-,-
Fri Apr 05 16:56:35 GMT+02:00 2019,0.290188,3,1.8823459148407,-,1.8823459148407,3
Fri Apr 05 16:56:36 GMT+02:00 2019,0.427344,2,1.2530130147934,0.000461805553641,1.56767952442169,2.5
Fri Apr 05 16:56:37 GMT+02:00 2019,0.44838,1,1.2530130147934,0.000820555549581,1.56767952442169,2
