GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Engine RPM(rpm),Throttle Position(Manifold)(%),Kilometers Per Litre(Instant)(kpl),Trip Distance(km),Engine Load(%)
Fri Mar 29 19:18:28 GMT+01:00 2019,29-Mar-2019 19:18:22.090,7.78338018,45.15915474,42.66,9.0,259.0,55.9,7.8529816,2.5187001,4.2904096,-0.033367217,152.0,5064.0,29.019607543945313,15.570751190185547,15.27035903930664,53.333335876464844
Fri Mar 29 19:18:29 GMT+01:00 2019,29-Mar-2019 19:18:23.090,7.78381055,45.15937013,42.13,9.0,259.0,55.7,8.255207,2.4420857,4.4915223,0.008816242,151.0,5027.5,29.411766052246094,11.6972074508667,15.311698913574219,59.2156867980957
Fri Mar 29 19:18:30 GMT+01:00 2019,29-Mar-2019 19:18:24.091,7.78425209,45.15958618,41.87,9.0,259.0,55.4,8.848969,2.8921957,4.5681367,0.07608467,150.0,4999.0,31.764705657958984,10.498743057250977,15.354388236999512,69.4117660522461
Fri Mar 29 19:18:31 GMT+01:00 2019,29-Mar-2019 19:18:25.092,7.78467896,45.15979312,41.67,9.0,258.0,55.2,8.111555,2.384625,4.2425256,-0.016725421,150.0,4989.5,34.90196228027344,9.06068229675293,15.397263526916504,81.17647552490234
Fri Mar 29 19:18:32 GMT+01:00 2019,29-Mar-2019 19:18:26.095,7.78512354,45.1600164,41.56,9.0,257.0,55.1,9.021352,2.7581203,4.654328,0.091299474,150.0,4994.0,36.86274719238281,8.045382499694824,15.441263198852539,90.19608306884766
Fri Mar 29 19:18:33 GMT+01:00 2019,29-Mar-2019 19:18:27.091,7.78555432,45.16022772,41.61,9.0,258.0,54.8,7.335834,2.135628,3.4763808,-0.12533432,150.0,5002.5,39.607845306396484,7.843654155731201,15.482012748718262,94.11764526367188
Fri Mar 29 19:18:34 GMT+01:00 2019,29-Mar-2019 19:18:28.091,7.78598755,45.16044438,41.62,9.0,258.0,54.8,9.423578,2.2122424,4.510676,0.10759729,150.0,5013.0,40.7843132019043,7.472849369049072,15.525346755981445,97.64706420898438
Fri Mar 29 19:18:35 GMT+01:00 2019,29-Mar-2019 19:18:29.090,7.78642423,45.16066399,41.73,9.0,257.0,54.9,8.523358,2.2505496,4.271256,0.017544866,151.0,5023.0,41.17647171020508,7.441591739654541,15.56704330444336,98.03921508789063
Fri Mar 29 19:18:36 GMT+01:00 2019,29-Mar-2019 19:18:30.091,7.78685771,45.16087892,41.84,9.0,257.0,55.0,8.283937,2.2697031,4.10845,-0.010432541,151.0,5037.0,41.17647171020508,7.454349994659424,15.611043930053711,97.64706420898438
Fri Mar 29 19:18:37 GMT+01:00 2019,29-Mar-2019 19:18:31.091,7.7872941,45.16110898,42.09,9.0,256.0,54.8,8.714894,2.5761611,4.4244847,0.049328625,151.0,5050.0,41.17647171020508,7.432182312011719,15.652946472167969,98.03921508789063
Fri Mar 29 19:18:38 GMT+01:00 2019,29-Mar-2019 19:18:32.091,7.78772789,45.16132931,42.06,9.0,255.0,54.8,8.580819,1.9249382,4.003105,0.0039473176,152.0,5062.0,41.960784912109375,7.388084888458252,15.697914123535156,98.82353210449219
Fri Mar 29 19:18:39 GMT+01:00 2019,29-Mar-2019 19:18:33.091,7.78816898,45.16154803,42.13,9.0,255.0,54.8,8.66701,2.0207062,4.175488,0.02107042,152.0,5064.5,41.960784912109375,7.448912620544434,15.739672660827637,99.60784149169922
Fri Mar 29 19:18:40 GMT+01:00 2019,29-Mar-2019 19:18:34.091,7.78861132,45.1617636,42.23,9.0,256.0,54.7,8.331821,2.1452048,4.3382936,0.0012071133,152.0,5079.5,41.568626403808594,7.430578231811523,15.783035278320313,99.21569061279297
Fri Mar 29 19:18:41 GMT+01:00 2019,29-Mar-2019 19:18:35.091,7.7890577,45.16198315,42.33,9.0,255.0,54.8,7.8625584,2.1643584,3.8019924,-0.063798726,153.0,5094.0,41.568626403808594,7.468433856964111,15.824529647827148,99.21569061279297
Fri Mar 29 19:18:42 GMT+01:00 2019,29-Mar-2019 19:18:36.091,7.78949945,45.16220461,42.46,9.0,256.0,54.9,9.14585,2.183512,4.6160207,0.08677,153.0,5103.5,41.568626403808594,7.460366249084473,15.867879867553711,99.21569061279297
Fri Mar 29 19:18:43 GMT+01:00 2019,29-Mar-2019 19:18:37.091,7.78993921,45.16242557,42.44,9.0,256.0,54.8,7.9487495,2.3463178,4.0414124,-0.041073978,153.0,5106.5,41.568626403808594,7.52964973449707,15.892189979553223,99.21569061279297
Fri Mar 29 19:18:44 GMT+01:00 2019,29-Mar-2019 19:18:38.091,7.79038092,45.16264598,42.56,9.0,256.0,54.9,7.872135,2.4516625,3.8977604,-0.05134034,153.0,5123.5,41.17647171020508,7.483222484588623,15.936220169067383,98.82353210449219
Fri Mar 29 19:18:45 GMT+01:00 2019,29-Mar-2019 19:18:39.091,7.79082275,45.1628659,42.6,9.0,256.0,54.9,8.236053,1.9632454,4.951209,0.01881957,152.0,5044.0,19.60784339904785,31.95476531982422,15.97830581665039,16.078432083129883
Fri Mar 29 19:18:46 GMT+01:00 2019,29-Mar-2019 19:18:40.090,7.79125677,45.16308585,41.82,9.0,256.0,54.8,7.3166804,1.8866309,5.9280434,-0.0020092726,147.0,4939.0,19.60784339904785,30.162010192871094,16.021862030029297,17.254901885986328
Fri Mar 29 19:18:47 GMT+01:00 2019,29-Mar-2019 19:18:41.090,7.79167768,45.16329223,40.81,9.0,256.0,55.2,7.872135,1.9249382,6.3302693,0.06725627,140.0,4696.5,19.215686798095703,31.719402313232422,16.062368392944336,16.078432083129883
Fri Mar 29 19:18:48 GMT+01:00 2019,29-Mar-2019 19:18:42.090,7.79207458,45.16348785,38.62,9.0,256.0,55.1,8.00621,1.733402,4.4723687,-0.029616892,135.0,4531.0,18.431373596191406,30.306386947631836,16.103059768676758,15.686274528503418
Fri Mar 29 19:18:49 GMT+01:00 2019,29-Mar-2019 19:18:43.091,7.7924738,45.16367728,37.6,9.0,256.0,55.5,9.030929,2.087744,5.085284,0.09672052,133.0,4441.5,18.431373596191406,31.898752212524414,16.14316177368164,14.901961326599121
Fri Mar 29 19:18:50 GMT+01:00 2019,29-Mar-2019 19:18:44.091,7.79286436,45.16386427,36.98,9.0,256.0,55.8,7.9870567,2.2409728,4.654328,-0.011379063,131.0,4369.5,18.431373596191406,31.767501831054688,16.180761337280273,14.509803771972656
Fri Mar 29 19:18:51 GMT+01:00 2019,29-Mar-2019 19:18:45.091,7.79324807,45.16404607,36.38,9.0,256.0,56.0,8.772355,2.3463178,5.056554,0.07849628,129.0,4293.0,18.039215087890625,31.830244064331055,16.217172622680664,18.823530197143555
Fri Mar 29 19:18:52 GMT+01:00 2019,29-Mar-2019 19:18:46.092,7.79361628,45.16422067,35.8,9.0,256.0,55.9,7.6135616,2.0590134,4.0701427,-0.07627481,129.0,4288.5,33.72549057006836,10.042972564697266,16.25501251220703,52.94117736816406
Fri Mar 29 19:18:53 GMT+01:00 2019,29-Mar-2019 19:18:47.091,7.79399108,45.16440304,35.78,9.0,255.0,55.9,8.734048,2.1643584,4.156334,0.029373944,129.0,4299.5,30.58823585510254,9.592171669006348,16.290058135986328,60.7843132019043
Fri Mar 29 19:18:54 GMT+01:00 2019,29-Mar-2019 19:18:48.091,7.79437402,45.16458245,35.8,9.0,255.0,56.3,8.360553,2.528277,4.663905,0.028344333,128.0,4290.0,30.58823585510254,13.67394733428955,16.327293395996094,61.17647171020508
Fri Mar 29 19:18:55 GMT+01:00 2019,29-Mar-2019 19:18:49.091,7.79475748,45.16476077,35.77,9.0,255.0,56.6,7.2209125,1.934515,4.10845,-0.11146492,127.0,4238.5,18.823530197143555,31.90270233154297,16.362323760986328,14.117647171020508
Fri Mar 29 19:18:56 GMT+01:00 2019,29-Mar-2019 19:18:50.091,7.79512824,45.16493781,35.25,9.0,255.0,56.4,8.389283,2.4708161,4.7500963,0.033506334,126.0,4183.0,21.176471710205078,22.871068954467773,16.382247924804688,21.176471710205078
Fri Mar 29 19:18:57 GMT+01:00 2019,29-Mar-2019 19:18:51.091,7.79550505,45.16511117,34.87,9.0,254.0,56.3,8.724471,2.4516625,4.1276035,0.034098804,126.0,4207.5,38.431373596191406,7.397664546966553,16.433979034423828,80.39215850830078
Fri Mar 29 19:18:58 GMT+01:00 2019,29-Mar-2019 19:18:52.091,7.79587027,45.16528738,34.98,9.0,254.0,56.1,7.2209125,2.9879637,4.2904096,-0.072234094,125.0,4167.5,18.823530197143555,32.05064010620117,16.453500747680664,14.509803771972656
Fri Mar 29 19:18:59 GMT+01:00 2019,29-Mar-2019 19:18:53.091,7.79623333,45.16546657,34.68,9.0,254.0,55.4,8.513782,3.763685,3.86903,0.046587527,126.0,4203.5,86.66667175292969,6.551891326904297,16.504365921020508,94.11764526367188
Fri Mar 29 19:19:00 GMT+01:00 2019,29-Mar-2019 19:18:54.091,7.79659161,45.16565627,34.94,9.0,254.0,53.3,8.418014,1.2258313,3.572149,-0.040493667,127.0,4235.0,88.23529815673828,6.575772285461426,16.524465560913086,96.07843017578125
Fri Mar 29 19:19:01 GMT+01:00 2019,29-Mar-2019 19:18:55.091,7.79695189,45.16584846,35.45,9.0,253.0,53.0,8.887277,2.1643584,4.098873,0.040754974,129.0,4302.5,88.23529815673828,6.553340911865234,16.56029510498047,96.86274719238281
Fri Mar 29 19:19:02 GMT+01:00 2019,29-Mar-2019 19:18:56.090,7.79732386,45.16604148,35.93,9.0,254.0,54.0,7.872135,1.733402,4.012682,-0.063133955,131.0,4360.5,88.23529815673828,6.566424369812012,16.598125457763672,98.82353210449219
Fri Mar 29 19:19:03 GMT+01:00 2019,29-Mar-2019 19:18:57.090,7.79770596,45.16623331,36.39,9.0,253.0,54.5,7.8050976,2.0015526,3.2273839,-0.09619236,132.0,4412.0,88.23529815673828,6.539316654205322,16.63471794128418,99.60784149169922
Fri Mar 29 19:19:04 GMT+01:00 2019,29-Mar-2019 19:18:58.090,7.79809059,45.16641984,36.87,9.0,253.0,54.7,8.274361,2.2505496,3.5338416,-0.035577834,134.0,4469.0,88.23529815673828,6.4695143699646,16.673093795776367,99.60784149169922
Fri Mar 29 19:19:05 GMT+01:00 2019,29-Mar-2019 19:18:59.090,7.7984826,45.16661642,37.3,9.0,252.0,54.9,9.232041,2.815581,4.414908,0.100921094,136.0,4521.5,86.2745132446289,6.563714504241943,16.71476173400879,99.60784149169922
Fri Mar 29 19:19:06 GMT+01:00 2019,29-Mar-2019 19:19:00.091,7.79887682,45.16681376,37.73,9.0,252.0,54.8,8.944737,2.2218192,3.8786068,0.0383088,137.0,4566.0,85.49019622802734,6.540319442749023,16.752347946166992,99.60784149169922
Fri Mar 29 19:19:07 GMT+01:00 2019,29-Mar-2019 19:19:01.090,7.79927702,45.16701106,38.2,9.0,251.0,54.9,8.686164,2.585738,4.2425256,0.03905326,138.0,4618.0,85.88235473632813,6.571436882019043,16.79387092590332,99.60784149169922
Fri Mar 29 19:19:08 GMT+01:00 2019,29-Mar-2019 19:19:02.091,7.79967418,45.16721111,38.47,9.0,251.0,54.8,7.8912888,2.0494366,3.5913026,-0.072846234,140.0,4657.0,64.70588684082031,6.759599208831787,16.834848403930664,99.60784149169922
