GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Speed (OBD)(km/h),Litres Per 100 Kilometer(Instant)(l/100km),GPS Altitude(m),Engine RPM(rpm),Trip Distance(km),Acceleration Sensor(Total)(g)
Tue Mar 26 16:49:45 GMT+01:00 2019,26-Mar-2019 16:51:15.365,7.665881435343494,45.06079042812152,0.42895618,8.0,304.08946198575444,200.0827,-0.6655881,8.884883,3.9947255,0.01837131,0.0,-,304.08946198575444,0.0,-,0.018371310085058212
Tue Mar 26 16:49:46 GMT+01:00 2019,26-Mar-2019 16:51:16.364,7.665882619527476,45.06078897824609,0.26870066,8.0,304.0899774902131,200.0827,-0.6703765,8.893262,4.033033,0.016756952,0.0,-,304.0899774902131,0.0,-,0.016756951808929443
Tue Mar 26 16:49:47 GMT+01:00 2019,26-Mar-2019 16:51:17.365,7.665885197127738,45.06078932761119,0.0,8.0,304.1450588307638,0.0,-0.6727707,8.870518,4.0282445,0.01857205,0.0,-,304.1450588307638,0.0,-,0.018572049215435982
Tue Mar 26 16:49:48 GMT+01:00 2019,26-Mar-2019 16:51:18.364,7.665885995244394,45.0607894977867,0.04310532,8.0,304.14552169622493,200.0827,-0.6799533,8.9842415,3.8271315,0.017748177,0.0,-,304.14552169622493,0.0,-,0.01774817705154419
Tue Mar 26 16:49:49 GMT+01:00 2019,26-Mar-2019 16:51:19.364,7.66588695499893,45.06078972191435,0.034529917,8.0,304.14601693706175,200.0827,-0.82001406,9.003395,3.858256,0.019002603,0.0,-,304.14601693706175,0.0,-,0.019002603366971016
Tue Mar 26 16:49:50 GMT+01:00 2019,26-Mar-2019 16:51:20.365,7.665887211200171,45.06078968478076,0.004786919,8.0,304.1465393209916,200.0827,-0.91338795,9.106346,3.728969,0.026396692,1.0,-,304.1465393209916,0.0,-,0.02639669179916382
Tue Mar 26 16:49:51 GMT+01:00 2019,26-Mar-2019 16:51:21.364,7.665888427911224,45.06079050573586,0.023632083,8.0,304.1470547201967,200.0827,-0.8750807,9.024943,3.8857894,0.024588406,1.0,119.87203979492188,304.1470547201967,0.0,-,0.024588406085968018
Tue Mar 26 16:49:52 GMT+01:00 2019,26-Mar-2019 16:51:22.365,7.665887123680002,45.06079017707042,0.49549,8.0,304.15253469893577,254.8372,-0.6584055,8.841787,4.0545807,0.017664183,3.0,39.95734786987305,304.15253469893577,0.0,6.061111344024539E-4,0.01766418293118477
Tue Mar 26 16:49:53 GMT+01:00 2019,26-Mar-2019 16:51:23.365,7.665878596099241,45.060788305376406,0.4150164,8.0,304.15798193049113,255.00612,-0.59615624,8.962694,3.8857894,0.018083958,3.0,39.95734786987305,304.15798193049113,0.0,0.001439444487914443,0.018083957955241203
Tue Mar 26 16:49:54 GMT+01:00 2019,26-Mar-2019 16:51:24.364,7.665883238887333,45.060788673662316,0.36347428,8.0,304.1646444002567,255.11395,-0.6667852,9.105149,3.5661635,0.019406676,1.0,59.93601989746094,304.1646444002567,0.0,0.0025080556515604258,0.019406676292419434
Tue Mar 26 16:49:55 GMT+01:00 2019,26-Mar-2019 16:51:25.364,7.665885695255309,45.06078900807962,0.33123994,8.0,304.1723022408779,255.06166,-0.61890113,9.127894,3.551798,0.019419014,2.0,119.87203979492188,304.1723022408779,0.0,0.0029247223865240812,0.01941901445388794
Tue Mar 26 16:49:56 GMT+01:00 2019,26-Mar-2019 16:51:26.365,7.6658838053448495,45.0607885683188,0.25008163,8.0,304.1797099342081,255.06166,-0.61890113,9.087193,3.582923,0.015763024,3.0,59.93601989746094,304.1797099342081,0.0,0.0036108335480093956,0.015763023868203163
Tue Mar 26 16:49:57 GMT+01:00 2019,26-Mar-2019 16:51:27.365,7.6658975891931815,45.06079003597403,0.5309799,8.0,304.1864508074215,246.6301,-0.22744916,8.768764,4.3394904,0.01878611,4.0,39.95734786987305,304.1864508074215,0.0,0.004488750360906124,0.01878610998392105
Tue Mar 26 16:49:58 GMT+01:00 2019,26-Mar-2019 16:51:28.364,7.665884953283989,45.06078740335896,0.7011845,8.0,304.19285084630064,246.63475,0.12689269,8.702923,4.5118732,0.01999222,2.0,29.96800994873047,304.19285084630064,0.0,0.005322083830833435,0.019992219284176826
Tue Mar 26 16:49:59 GMT+01:00 2019,26-Mar-2019 16:51:29.365,7.665873551125062,45.06078411815287,0.9322327,8.0,304.19897673433843,234.43176,-0.2645593,8.9842415,4.036624,0.023379624,0.0,59.93601989746094,304.19897673433843,0.0,0.005322083830833435,0.023379623889923096
Tue Mar 26 16:50:00 GMT+01:00 2019,26-Mar-2019 16:51:30.365,7.665866697230661,45.06077777089375,1.0704255,8.0,304.2043902170801,230.18918,-0.10534488,8.850166,4.2185836,0.018464088,0.0,-,304.2043902170801,0.0,0.005322083830833435,0.018464088439941406
Tue Mar 26 16:50:01 GMT+01:00 2019,26-Mar-2019 16:51:31.364,7.6658582435727,45.06076823570295,1.1779842,8.0,304.208889307511,240.1157,-0.14963761,8.846576,4.2760444,0.017226899,0.0,-,304.208889307511,0.0,0.005322083830833435,0.017226899042725563
Tue Mar 26 16:50:02 GMT+01:00 2019,26-Mar-2019 16:51:32.364,7.6658512455176195,45.0607639825697,1.2241,8.0,304.21071362464266,234.56107,-0.23582886,8.92319,4.119224,0.016722651,1.0,-,304.21071362464266,0.0,0.005322083830833435,0.016722651198506355
Tue Mar 26 16:50:03 GMT+01:00 2019,26-Mar-2019 16:51:33.365,7.66583746736892,45.06075794525068,1.24935,8.0,304.21048462599526,227.94283,0.06464344,8.9040365,4.152743,0.01867055,2.0,119.87203979492188,304.21048462599526,0.0,0.005696250591427088,0.018670549616217613
Tue Mar 26 16:50:04 GMT+01:00 2019,26-Mar-2019 16:51:34.364,7.665837865448433,45.06075506523903,1.183668,8.0,304.2059937452246,216.54364,0.0035913025,9.063251,3.642778,0.014710963,2.0,59.93601989746094,304.2059937452246,0.0,0.006251806393265724,0.014710962772369385
Tue Mar 26 16:50:05 GMT+01:00 2019,26-Mar-2019 16:51:35.364,7.665833368282354,45.06075120497292,0.7894161,8.0,304.19898930334926,185.58443,0.36750996,9.144653,3.4344823,0.019036027,2.0,59.93601989746094,304.19898930334926,0.0,0.006805139593780041,0.019036026671528816
Tue Mar 26 16:50:06 GMT+01:00 2019,26-Mar-2019 16:51:36.365,7.66583448606023,45.06074873200551,0.6502941,8.0,304.1916582135667,157.33508,0.12449849,9.528923,2.5773582,0.03159465,2.0,59.93601989746094,304.1916582135667,0.0,0.007306250743567944,0.0315946489572525
Tue Mar 26 16:50:07 GMT+01:00 2019,26-Mar-2019 16:51:37.365,7.665831166608481,45.06074662703531,0.47778264,8.0,304.1811848485213,157.33508,0.023942016,9.103952,3.5458126,0.0212866,0.0,59.93601989746094,304.1811848485213,0.0,0.007306250743567944,0.021286599338054657
Tue Mar 26 16:50:08 GMT+01:00 2019,26-Mar-2019 16:51:38.364,7.665838094177864,45.06074366093276,0.013753258,8.0,304.18004096806493,157.33508,-0.089782566,9.123106,3.539827,0.016572773,0.0,-,304.18004096806493,0.0,0.007306250743567944,0.016572773456573486
Tue Mar 26 16:50:09 GMT+01:00 2019,26-Mar-2019 16:51:39.365,7.665843327251848,45.060738478254116,0.44533688,8.0,304.1667357142456,162.09506,-0.094570965,9.155427,3.4512417,0.016428769,0.0,-,304.1667357142456,0.0,0.007306250743567944,0.016428768634796143
Tue Mar 26 16:50:10 GMT+01:00 2019,26-Mar-2019 16:51:40.365,7.6658438070111,45.060736727039064,0.3103413,8.0,304.1512446966472,162.09506,-0.260968,9.283517,3.2944214,0.020795563,0.0,-,304.1512446966472,0.0,0.007306250743567944,0.020795563235878944
Tue Mar 26 16:50:11 GMT+01:00 2019,26-Mar-2019 16:51:41.364,7.665844809576102,45.06073795425718,0.0058049727,8.0,304.1494836648232,162.09506,-0.1400608,9.223662,3.3327289,0.0184676,1.0,-,304.1494836648232,0.0,0.007306250743567944,0.018467599526047707
Tue Mar 26 16:50:12 GMT+01:00 2019,26-Mar-2019 16:51:42.365,7.665841478399562,45.06072747769956,0.704534,8.0,304.13011299544263,213.97845,-0.30047232,9.077616,3.596091,0.01977918,3.0,119.87203979492188,304.13011299544263,0.0,0.007805139757692814,0.019779179245233536
Tue Mar 26 16:50:13 GMT+01:00 2019,26-Mar-2019 16:51:43.365,7.665834908090652,45.06072020085562,0.7117964,8.0,304.10930410215104,218.47124,-0.23463176,9.244013,3.0873232,0.012757719,4.0,39.95734786987305,304.10930410215104,0.0,0.008778334595263004,0.012757718563079834
Tue Mar 26 16:50:14 GMT+01:00 2019,26-Mar-2019 16:51:44.365,7.665834581017452,45.060716373321824,0.8834011,8.0,304.0891300938201,219.15749,-0.08499416,9.629479,3.1184478,0.023340626,6.0,29.96800994873047,304.0891300938201,0.0,0.010363057255744934,0.023340625688433647
Tue Mar 26 16:50:15 GMT+01:00 2019,26-Mar-2019 16:51:45.364,7.665829144029993,45.060709147716395,1.1354564,8.0,304.0694030344067,216.01186,-0.5494693,9.333796,2.5594015,0.026860472,8.0,42.698326110839844,304.0694030344067,1226.0,0.01206055749207735,0.026860471814870834
Tue Mar 26 16:50:16 GMT+01:00 2019,26-Mar-2019 16:51:46.365,7.665819377875926,45.06069931573585,1.2796414,8.0,304.0496870338336,222.93266,-0.2837129,9.083601,4.1144357,0.022125926,12.0,62.631317138671875,304.0496870338336,1771.0,0.014763334766030312,0.02212592586874962
Tue Mar 26 16:50:17 GMT+01:00 2019,26-Mar-2019 16:51:47.365,7.665803806897867,45.06068986965658,1.500219,8.0,304.02866882647186,220.85161,0.03232172,9.1829605,3.9444473,0.037789166,14.0,55.67228317260742,304.02866882647186,1871.0,0.018374446779489517,0.03778916597366333
Tue Mar 26 16:50:18 GMT+01:00 2019,26-Mar-2019 16:51:48.364,7.665796010922822,45.060677941541236,1.8002703,8.0,304.00634427168137,219.27464,-0.48482585,8.947132,3.693056,0.006918967,14.0,25.399715423583984,304.00634427168137,1226.0,0.021629447117447853,0.006918966770172119
Tue Mar 26 16:50:19 GMT+01:00 2019,26-Mar-2019 16:51:49.365,7.665777426981318,45.0606593050773,2.0956614,8.0,303.9829730037951,216.32135,-0.45130703,9.214086,3.442862,0.040670957,14.0,26.60052490234375,303.9829730037951,1345.0,0.025362780317664146,0.040670957416296005
Tue Mar 26 16:50:20 GMT+01:00 2019,26-Mar-2019 16:51:50.365,7.665748360985008,45.06063152399572,2.3351483,8.0,303.7591934012056,209.7709,-0.7433996,8.841787,3.927688,0.010457402,17.0,28.384334564208984,303.7591934012056,1425.0,0.03308500349521637,0.010457402095198631
Tue Mar 26 16:50:21 GMT+01:00 2019,26-Mar-2019 16:51:51.364,7.665718724855173,45.06059755526541,2.5508878,8.0,303.5812466017895,207.65633,-0.0011971008,8.3868885,3.879804,-0.041211996,16.0,17.907712936401367,303.5812466017895,933.0,0.037558335810899734,-0.04121199622750282
Tue Mar 26 16:50:22 GMT+01:00 2019,26-Mar-2019 16:51:52.364,7.665690148250256,45.060562163516074,2.7447977,8.0,303.4424297799004,219.17609,-0.20470424,8.499416,4.8135424,0.014918685,13.0,15.029687881469727,303.4424297799004,0.0,0.04178750142455101,0.014918684959411621
Tue Mar 26 16:50:23 GMT+01:00 2019,26-Mar-2019 16:51:53.365,7.665649431429262,45.06053104349019,2.8974702,8.0,303.4294141115285,218.38742,-0.4297592,8.86932,4.0940847,-0.010839266,12.0,18.498077392578125,303.4294141115285,0.0,0.044735416769981384,-0.010839265771210194
Tue Mar 26 16:50:24 GMT+01:00 2019,26-Mar-2019 16:51:54.364,7.66561250398497,45.060500039295945,3.0271704,8.0,303.4146269490398,208.97186,-0.8535329,8.549694,4.060566,0.046749573,11.0,20.03958511352539,303.4146269490398,0.0,0.04793305695056915,0.046749573200941086
Tue Mar 26 16:50:25 GMT+01:00 2019,26-Mar-2019 16:51:55.364,7.665587811078711,45.060457510993736,3.1694808,12.0,303.242967794233,191.0841,-1.7513585,8.985439,4.033033,0.040769264,12.0,21.861364364624023,303.242967794233,0.0,0.05113069713115692,0.04076926410198212
Tue Mar 26 16:50:26 GMT+01:00 2019,26-Mar-2019 16:51:56.365,7.6655804706593935,45.06041867038186,3.2759142,12.0,303.2271995720976,180.66365,-1.3000516,8.378509,3.618836,-0.041269302,14.0,20.03958511352539,303.2271995720976,0.0,0.054369863122701645,-0.04126930236816406
Tue Mar 26 16:50:27 GMT+01:00 2019,26-Mar-2019 16:51:57.365,7.665581814050615,45.06037625024329,3.37357,12.0,303.06936585261457,164.19124,-1.4664485,9.689334,3.9863458,0.09743446,15.0,17.176786422729492,303.06936585261457,0.0,0.05839763954281807,0.09743446111679077
